Messwerte
3,77
5,89
7,70
10,09
8,98
9,34
10,18
9,55
5,56
5,35
5,05
4,84
0,87
2,27
4,13
2,52
2,45
2,86
7,70
10,82
9,10
13,37
16,47
19,26
17,63
17,49
20,82
18,63
18,98
15,97
17,75
14,45
13,25
111,30
111,70
10,61
11,03
13,98
15,43
18,28
17,42
31,27
44,32
57,12
69,11
37,57
29,00
31,29
31,07
28,40
27,38
29,15
27,85
25,67
21,73
22,17
24,10
23,54
23,52
23,99
28,87
28,02
-71,23
-67,23
37,63
36,38
39,69
42,50
40,77
40,52
41,82
39,79
37,55
38,26
33,08
35,16
33,63
32,58
32,06
37,07
35,56
87,45
92,62
91,90
95,15
95,21
96,94
101,23
99,00
103,24
102,96
102,25
100,19
95,95
95,66
95,49
93,59
95,08
96,06
92,57
94,61
96,13
99,04
101,21
102,50
105,75
105,79
109,50
112,76
110,50
111,71
111,41
112,67
111,60
110,34
108,06
104,90
